tag,estimator,variant,sigma_obs,sim_seed,est_seed,block,coverage,rung,cal_skill,cal_skill_sd,cal_pearson,cal_spearman,cal_sign_accuracy,n_split_seeds,n_params
convergence,joint,strict,0.15,0,1,rank2,0.05,lowrank,-0.005975583511770438,0.012006943747401912,0.027946999411538914,0.007602995909125376,,8,204
convergence,joint,strict,0.15,0,1,rank2,0.1,lowrank,-0.02005593758871231,0.03282259522026676,-0.0002618484865958272,0.004000799673461839,,8,204
convergence,joint,strict,0.15,0,1,rank2,0.2,lowrank,-0.013248091706566018,0.02909473371929308,-0.0034668539868219334,0.011609721900788614,,8,204
convergence,joint,strict,0.15,0,1,rank2,0.4,lowrank,-0.004590183633509992,0.010403581850852054,-0.011559763952977722,-0.00232181180816966,,8,204
convergence,joint,strict,0.15,0,1,rank2,0.7,lowrank,-0.0011872742953132343,0.0017027514682635308,-0.0043370723407944395,0.004071483512690084,,8,204
convergence,joint,strict,0.15,0,2,rank2,0.05,lowrank,-0.009172101363539104,0.015065826078979936,-0.005231052796863691,0.008765844210487601,,8,204
convergence,joint,strict,0.15,0,2,rank2,0.1,lowrank,-0.01155225649766356,0.02524276055058688,0.02020560353722876,0.02392954519841623,,8,204
convergence,joint,strict,0.15,0,2,rank2,0.2,lowrank,-0.013707824068535657,0.02630907051176264,-0.01159584392046118,0.005428603292393374,,8,204
convergence,joint,strict,0.15,0,2,rank2,0.4,lowrank,-0.004968790936858203,0.011162756164521295,-0.006203637176006858,0.0004775564974416694,,8,204
convergence,joint,strict,0.15,0,2,rank2,0.7,lowrank,-0.0017191809338059916,0.0027875092965845023,-0.006739264319692878,-0.0038652936771940223,,8,204
convergence,joint,strict,0.15,0,3,rank2,0.05,lowrank,-0.013806512765303494,0.02311341338487188,0.01528857380488625,0.008280223873084636,,8,204
convergence,joint,strict,0.15,0,3,rank2,0.1,lowrank,-0.018716607889239317,0.0228298615567537,0.003864199325583851,0.002735076874052852,,8,204
convergence,joint,strict,0.15,0,3,rank2,0.2,lowrank,-0.01392794675768115,0.022486681959570768,-0.008438699012682165,-0.00609899393530785,,8,204
convergence,joint,strict,0.15,0,3,rank2,0.4,lowrank,-0.004661358693985651,0.007560656338342729,-0.01835468086084763,0.0183646719707008,,8,204
convergence,joint,strict,0.15,0,3,rank2,0.7,lowrank,-0.0013590948775430434,0.0017332210402370575,0.006799058240400333,0.004313250746387094,,8,204
convergence,joint,strict,0.15,0,4,rank2,0.05,lowrank,-0.005323506371202463,0.010775909452663594,0.02428234026892127,0.03155748006208078,,8,204
convergence,joint,strict,0.15,0,4,rank2,0.1,lowrank,-0.02029317262764982,0.018958571070054414,-0.015593152877691066,-0.00898500278528225,,8,204
convergence,joint,strict,0.15,0,4,rank2,0.2,lowrank,-0.02128441448362406,0.029329735146530582,-0.02015740319385666,-0.007139946713252215,,8,204
convergence,joint,strict,0.15,0,4,rank2,0.4,lowrank,-0.006478358571632606,0.011741825396823872,-0.014124582708214898,0.00997408752631544,,8,204
convergence,joint,strict,0.15,0,4,rank2,0.7,lowrank,-0.0018330566822007122,0.002041985547845659,-0.007956761019456129,-0.002734988510204785,,8,204
noise_sd0.075,joint,strict,0.075,0,101,rank2,0.05,lowrank,-0.009726831649983003,0.020585684070301445,-0.0035253342231990046,0.006240505109427742,,8,204
noise_sd0.075,joint,strict,0.075,0,101,rank2,0.1,lowrank,-0.025762122307434715,0.03093600078778275,-0.025302898394842843,-0.015321622926494692,,8,204
noise_sd0.075,joint,strict,0.075,0,101,rank2,0.2,lowrank,-0.0027424037840939053,0.0033570733849674437,-0.006618689157805391,-0.0003994667428508851,,8,204
noise_sd0.075,joint,strict,0.075,0,101,rank2,0.4,lowrank,-0.002723598628797952,0.003983213048474777,-0.01569354246895371,-0.012513885447241798,,8,204
noise_sd0.075,joint,strict,0.075,0,101,rank2,0.7,lowrank,-0.002765663682016112,0.003153396685150355,-0.020835101042863357,-0.008459060340892511,,8,204
noise_sd0.075,joint,strict,0.075,1,102,rank2,0.05,lowrank,-0.017620385288120377,0.01903701533575773,-0.0035635950623796628,-0.0025201134032144475,,8,204
noise_sd0.075,joint,strict,0.075,1,102,rank2,0.1,lowrank,-0.011602567007220621,0.020118113245106328,-0.01573490273486334,-0.008273397224097109,,8,204
noise_sd0.075,joint,strict,0.075,1,102,rank2,0.2,lowrank,-0.005533566315178942,0.009614688202806436,0.01865038010587783,0.027892326722508423,,8,204
noise_sd0.075,joint,strict,0.075,1,102,rank2,0.4,lowrank,-0.0020686688337605424,0.0022919021183401603,-0.006191240387372168,0.003349177593389866,,8,204
noise_sd0.075,joint,strict,0.075,1,102,rank2,0.7,lowrank,-0.00234234482220283,0.002743561675547238,-0.005851893669097254,0.003421915911201141,,8,204
noise_sd0.075,joint,strict,0.075,2,103,rank2,0.05,lowrank,-0.07211260294519148,0.17312597900822113,-0.022447069382869066,-0.011215714134093894,,8,204
noise_sd0.075,joint,strict,0.075,2,103,rank2,0.1,lowrank,-0.011343174234400802,0.023256647639014895,0.016739958510951912,0.01801448867784522,,8,204
noise_sd0.075,joint,strict,0.075,2,103,rank2,0.2,lowrank,-0.006483661706405547,0.008361821089901238,-0.012286766763481527,-0.01950673840143362,,8,204
noise_sd0.075,joint,strict,0.075,2,103,rank2,0.4,lowrank,-0.005624995141585404,0.008382121467841744,-0.021524305239183764,-0.02225430124173544,,8,204
noise_sd0.075,joint,strict,0.075,2,103,rank2,0.7,lowrank,-0.002109555942093902,0.004410827969661688,0.003003594226967448,-0.008360078342062652,,8,204
noise_sd0.075,joint,strict,0.075,3,104,rank2,0.05,lowrank,-0.048311055299455785,0.05735997149726942,-0.002154188503637945,-0.0033611478292042314,,8,204
noise_sd0.075,joint,strict,0.075,3,104,rank2,0.1,lowrank,-0.030533685138445982,0.0370704480907108,0.0032490665282560623,-0.008632055385438923,,8,204
noise_sd0.075,joint,strict,0.075,3,104,rank2,0.2,lowrank,-0.003443483349816173,0.003939663080151431,-0.018290331404809526,-0.017531706827001347,,8,204
noise_sd0.075,joint,strict,0.075,3,104,rank2,0.4,lowrank,-0.0023019482454796764,0.002954169192117572,0.011621715742450476,0.01837626529872085,,8,204
noise_sd0.075,joint,strict,0.075,3,104,rank2,0.7,lowrank,-0.0010348752781602771,0.0016689433462040973,0.004770377387714134,0.005049816222484236,,8,204
noise_sd0.075,joint,strict,0.075,4,105,rank2,0.05,lowrank,-0.023536579518787168,0.06405394594117889,0.028735974416898506,0.024347649288078737,,8,204
noise_sd0.075,joint,strict,0.075,4,105,rank2,0.1,lowrank,-0.026712190466650937,0.04892029622732561,0.014561967600033613,0.011652322412802533,,8,204
noise_sd0.075,joint,strict,0.075,4,105,rank2,0.2,lowrank,-0.0018017943035608802,0.00417959055481413,0.023136566046390354,0.02067530687519695,,8,204
noise_sd0.075,joint,strict,0.075,4,105,rank2,0.4,lowrank,-0.003491970790338861,0.008528180885209452,0.02238176859709905,0.01835858654827025,,8,204
noise_sd0.075,joint,strict,0.075,4,105,rank2,0.7,lowrank,-0.0018439592523870896,0.003158038524871379,0.02539277864924328,0.018342315357923192,,8,204
noise_sd0.075,joint,strict,0.075,5,106,rank2,0.05,lowrank,-0.01628306932912199,0.02081258069267789,0.019528320282875412,0.01516443436987749,,8,204
noise_sd0.075,joint,strict,0.075,5,106,rank2,0.1,lowrank,-0.02269774958732962,0.025655798721903357,0.0008334148362053456,-0.008472942336876607,,8,204
noise_sd0.075,joint,strict,0.075,5,106,rank2,0.2,lowrank,-0.007764009454729687,0.014834235984143579,0.009114022249735372,0.00438273818728846,,8,204
noise_sd0.075,joint,strict,0.075,5,106,rank2,0.4,lowrank,-0.003283327114662976,0.004224143796586281,-0.025861069033549983,-0.015769466117508072,,8,204
