tag,estimator,variant,sigma_obs,sim_seed,est_seed,seconds,true_synergy_rms,true_pair_interaction_is_zero,true_curl_fraction,true_D_is_zero,est_synergy_rms,est_D_std,est_D_mean_square,curl_fraction,grad_fraction,artifact_rms,artifact_curl_fraction,estimate_truth_pearson,converged,n_samples,n_samples_expected,selector_on_fraction,split_half_pearson_D,posterior_noise_fraction_of_D,offset_error_rms,second_position_gain_mean,second_position_gain_sd,template_r2,template_subspace_overlap,rank2_energy_absolute,top1,artifact_top1,top2,artifact_top2,top4,artifact_top4,top8,artifact_top8,top16,artifact_top16,top32,artifact_top32,top64,artifact_top64
unshared,unshared,strict,0.15,0,101,46.513362884521484,0.0,True,,True,0.06142878640563673,0.08670813865334448,0.0074431182956403346,0.9182743562776022,0.08172564372239796,0.06142878640563673,0.9182743562776022,,True,,,0.2414,,,,,,,,0.000544095274549852,0.0398031625891277,0.0398031625891277,0.07960632517825539,0.07960632517825539,0.15558403198440235,0.15558403198440235,0.2908927826087708,0.2908927826087708,0.4981194153176492,0.4981194153176492,0.7614689397488037,0.7614689397488037,0.9729064837011951,0.9729064837011951
unshared,unshared,strict,0.15,3,104,50.71989035606384,0.0,True,,True,0.061272057164962646,0.08627179869551209,0.007368395017657372,0.9424218298907345,0.05757817010926556,0.061272057164962646,0.9424218298907345,,True,,,0.2264,,,,,,,,0.0005734641477332618,0.04129125075067504,0.04129125075067504,0.08258250150135006,0.08258250150135006,0.1509901875416975,0.1509901875416975,0.27294765839712476,0.27294765839712476,0.47851481042485705,0.47851481042485705,0.750787012601915,0.750787012601915,0.971852010746944,0.971852010746944
unshared,unshared,strict,0.15,4,105,59.784708976745605,0.0,True,,True,0.06268207447202137,0.08914970700427928,0.007868193556359353,0.9274579271561609,0.07254207284383922,0.06268207447202137,0.9274579271561609,,True,,,0.2237,,,,,,,,0.0006008302058314646,0.041167311903793004,0.041167311903793004,0.08233462380758591,0.08233462380758591,0.1550270894049036,0.1550270894049036,0.2814447595067045,0.2814447595067045,0.4744970348281073,0.4744970348281073,0.7387824170057616,0.7387824170057616,0.9634379558584787,0.9634379558584787
unshared,unshared,strict,0.15,2,103,59.95470404624939,0.0,True,,True,0.0638695106382444,0.09058493999888523,0.00812357504105562,0.9277226567015388,0.07227734329846115,0.0638695106382444,0.9277226567015388,,True,,,0.2373,,,,,,,,0.0006169193904135368,0.04092918204595512,0.04092918204595512,0.08185836409191023,0.08185836409191023,0.15167678474485882,0.15167678474485882,0.2737134184154368,0.2737134184154368,0.4751287985118913,0.4751287985118913,0.7407019626857195,0.7407019626857195,0.9673744186448215,0.9673744186448215
unshared,unshared,strict,0.15,6,107,60.67506718635559,0.0,True,,True,0.06291494747488421,0.08966498765089437,0.007959411910330689,0.9215445852062443,0.07845541479375584,0.06291494747488421,0.9215445852062443,,True,,,0.237,,,,,,,,0.0005732820698654042,0.03907878305267741,0.03907878305267741,0.07815756610535464,0.07815756610535464,0.14562991408157475,0.14562991408157475,0.26865804879835287,0.26865804879835287,0.47155760233881394,0.47155760233881394,0.7453450819619791,0.7453450819619791,0.967355992298614,0.967355992298614
unshared,unshared,strict,0.15,5,106,60.763343811035156,0.0,True,,True,0.059048921900605476,0.08319384932978893,0.006852004400644546,0.953067841091671,0.04693215890832929,0.059048921900605476,0.953067841091671,,True,,,0.1975,,,,,,,,0.0005214782928172728,0.03992682631846158,0.03992682631846158,0.07985365263692315,0.07985365263692315,0.14996635253681392,0.14996635253681392,0.2786756778996927,0.2786756778996927,0.47977373323045697,0.47977373323045697,0.7375155537513838,0.7375155537513838,0.9652623257646,0.9652623257646
unshared,unshared,strict,0.15,1,102,60.97040390968323,0.0,True,,True,0.06431131815607521,0.0916206686658038,0.008310403457501312,0.9562212069882079,0.043778793011792015,0.06431131815607521,0.9562212069882079,,True,,,0.2284,,,,,,,,0.0006379599564765437,0.04014051537706861,0.04014051537706861,0.08028103075413716,0.08028103075413716,0.1548831561598628,0.1548831561598628,0.2818241234190697,0.2818241234190697,0.4800343269304377,0.4800343269304377,0.7468980787949413,0.7468980787949413,0.9653581884212906,0.9653581884212906
unshared,unshared,strict,0.15,7,108,39.98735213279724,0.0,True,,True,0.06266774958751409,0.08839124921927582,0.007734882809158688,0.9467360873164004,0.053263912683599764,0.06266774958751409,0.9467360873164004,,True,,,0.2213,,,,,,,,0.0006044990020858706,0.04127460471956279,0.04127460471956279,0.0825492094391255,0.0825492094391255,0.1542514083845245,0.1542514083845245,0.2821748917179359,0.2821748917179359,0.4829743475675652,0.4829743475675652,0.747331735885533,0.747331735885533,0.9674801514922052,0.9674801514922052
unshared,unshared,strict,0.15,8,109,44.82694602012634,0.0,True,,True,0.05922275229074043,0.08369497315358931,0.006934800045868235,0.9376549326664029,0.06234506733359719,0.05922275229074043,0.9376549326664029,,True,,,0.2279,,,,,,,,0.0006310726431686217,0.048525762950869536,0.048525762950869536,0.09705152590173904,0.09705152590173904,0.17018787947334546,0.17018787947334546,0.3021136122702763,0.3021136122702763,0.5051716063617201,0.5051716063617201,0.7555702693519086,0.7555702693519086,0.96987007127738,0.96987007127738
unshared,unshared,strict,0.15,9,110,64.04262208938599,0.0,True,,True,0.060645128055144375,0.08510652517105449,0.007170689420424421,0.9197566500062274,0.08024334999377247,0.060645128055144375,0.9197566500062274,,True,,,0.223,,,,,,,,0.0005461615353262454,0.041405426826273815,0.041405426826273815,0.08281085365254763,0.08281085365254763,0.15974489066223782,0.15974489066223782,0.2924823418580429,0.2924823418580429,0.49501812455274935,0.49501812455274935,0.7559095980793975,0.7559095980793975,0.9661388697924649,0.9661388697924649
unshared,unshared,strict,0.15,10,111,63.939436197280884,0.0,True,,True,0.06374994729412742,0.08967819388152254,0.007961756673273427,0.9646669802204277,0.0353330197795722,0.06374994729412742,0.9646669802204277,,True,,,0.2315,,,,,,,,0.0006791291798044861,0.04421158466778762,0.04421158466778762,0.08842316933557522,0.08842316933557522,0.15712436738284288,0.15712436738284288,0.28207835226173783,0.28207835226173783,0.47603813914925774,0.47603813914925774,0.7474282654376225,0.7474282654376225,0.967159429144081,0.967159429144081
unshared,unshared,strict,0.15,12,113,63.57755517959595,0.0,True,,True,0.06303724991957038,0.0891204538791038,0.007863030746621294,0.9427135082721665,0.05728649172783352,0.06303724991957038,0.9427135082721665,,True,,,0.2373,,,,,,,,0.0006150247655969163,0.04148517289444214,0.04148517289444214,0.08297034578888425,0.08297034578888425,0.15106679969948122,0.15106679969948122,0.2729302964717596,0.2729302964717596,0.4760794753163885,0.4760794753163885,0.7385699129841308,0.7385699129841308,0.9654137735672808,0.9654137735672808
unshared,unshared,strict,0.15,13,114,64.3534779548645,0.0,True,,True,0.06141512654496469,0.08653004651219787,0.007412574459909095,0.9383418956344606,0.06165810436553943,0.06141512654496469,0.9383418956344606,,True,,,0.2434,,,,,,,,0.0005684877215626344,0.04086588580454472,0.04086588580454472,0.08173177160908938,0.08173177160908938,0.1547753100839283,0.1547753100839283,0.2776702086546293,0.2776702086546293,0.4782208426173459,0.4782208426173459,0.7498739981839583,0.7498739981839583,0.966895689139834,0.966895689139834
unshared,unshared,strict,0.15,11,112,65.02379083633423,0.0,True,,True,0.06446245888732262,0.0913011904374169,0.008252548301536572,0.9485252613598925,0.05147473864010777,0.06446245888732262,0.9485252613598925,,True,,,0.2448,,,,,,,,0.0006291110563551056,0.04018466439204454,0.04018466439204454,0.08036932878408908,0.08036932878408908,0.15057114768306223,0.15057114768306223,0.2730888473640604,0.2730888473640604,0.4753504492349831,0.4753504492349831,0.7478555289927663,0.7478555289927663,0.967526296773828,0.967526296773828
unshared,unshared,strict,0.15,14,115,41.352134227752686,0.0,True,,True,0.06408568188538669,0.09028640012694882,0.008070117707404666,0.9456032661782788,0.05439673382172136,0.06408568188538669,0.9456032661782788,,True,,,0.23,,,,,,,,0.0006012463208894498,0.03939431954870991,0.03939431954870991,0.07878863909741979,0.07878863909741979,0.15054578900280427,0.15054578900280427,0.27321985135180754,0.27321985135180754,0.4723704796926761,0.4723704796926761,0.7424882813315312,0.7424882813315312,0.9687300194259721,0.9687300194259721
unshared,unshared,strict,0.15,15,116,45.6252179145813,0.0,True,,True,0.060238137477764735,0.08554023512557075,0.007243960507084549,0.948960646209104,0.05103935379089605,0.060238137477764735,0.948960646209104,,True,,,0.2304,,,,,,,,0.0006283366465333821,0.04570230642148705,0.04570230642148705,0.09140461284297395,0.09140461284297395,0.16839317518148134,0.16839317518148134,0.2915649730535927,0.2915649730535927,0.4866050587005426,0.4866050587005426,0.7549276518062494,0.7549276518062494,0.9703982736162313,0.9703982736162313
unshared,unshared,strict,0.15,16,117,45.41737484931946,0.0,True,,True,0.06207839749374241,0.08890228413402027,0.00782457996300361,0.9418752502556148,0.0581247497443852,0.06207839749374241,0.9418752502556148,,True,,,0.2404,,,,,,,,0.0006035124288274493,0.04094508759728411,0.04094508759728411,0.08189017519456819,0.08189017519456819,0.15577663737131167,0.15577663737131167,0.29044296641905926,0.29044296641905926,0.49675327757710136,0.49675327757710136,0.7653601870685661,0.7653601870685661,0.968849411192235,0.968849411192235
unshared,unshared,strict,0.15,17,118,45.48490619659424,0.0,True,,True,0.061291861760272515,0.08578201307854588,0.0072849682301297375,0.9454945028659055,0.054505497134094624,0.061291861760272515,0.9454945028659055,,True,,,0.2237,,,,,,,,0.0005765353688641895,0.041851332425254746,0.041851332425254746,0.0837026648505094,0.0837026648505094,0.1584273888947552,0.1584273888947552,0.2857563082906088,0.2857563082906088,0.4836173251366361,0.4836173251366361,0.7514179195333894,0.7514179195333894,0.9697278979706154,0.9697278979706154
