block,screen,coverage,rung,metric,n_split_seeds,n_missing,mean,sd,ci_lo,ci_hi,n_seeds_positive,p_ttest,p_wilcoxon,flexible_diagnostic
power_k0.1,A375,0.05,lowrank,cal_skill,8,0,-0.13473324338431417,0.07181460431099937,-0.1947717550668689,-0.07469473170175944,0,0.0011154906943932658,0.0078125,False
power_k0.1,A375,0.05,mlp,cal_skill,8,0,-0.09647868604114962,0.0685996399491505,-0.15382942025490476,-0.03912795182739447,0,0.0053381410378735015,0.0078125,True
power_k0.1,A375,0.1,lowrank,cal_skill,8,0,-0.08416850694360335,0.09649174065403836,-0.16483762089484755,-0.0034993929923591433,1,0.04300903647528078,0.0234375,False
power_k0.1,A375,0.1,mlp,cal_skill,8,0,-0.028197400123415303,0.052754585476204575,-0.07230133729342522,0.015906537046594622,1,0.17434182947863253,0.078125,True
power_k0.1,A375,0.2,lowrank,cal_skill,8,0,0.05538992186878593,0.032304426237142525,0.02838274567329101,0.08239709806428085,8,0.001856987019596764,0.0078125,False
power_k0.1,A375,0.2,mlp,cal_skill,8,0,0.018742162822407968,0.06247510906544582,-0.033488335437402775,0.07097266108221871,5,0.42421555400333627,0.3828125,True
power_k0.1,A375,0.4,lowrank,cal_skill,8,0,0.35251221040928593,0.041182002230396565,0.318083194950073,0.3869412258684989,8,5.219774607319775e-08,0.0078125,False
power_k0.1,A375,0.4,mlp,cal_skill,8,0,0.25248676410141596,0.07031835380255756,0.1936991491479177,0.31127437905491423,8,1.931922080981219e-05,0.0078125,True
power_k0.1,A375,0.7,lowrank,cal_skill,8,0,0.47850945489119245,0.02794788737866386,0.4551444363272785,0.5018744734551064,8,4.189308971219596e-10,0.0078125,False
power_k0.1,A375,0.7,mlp,cal_skill,8,0,0.42615488098401955,0.0627489041988115,0.3736954842644747,0.4786142777035644,8,2.5812740044875963e-07,0.0078125,True
power_k0.1,PANC1,0.05,lowrank,cal_skill,8,0,-0.1336938130032414,0.09129302388810218,-0.2100166909725358,-0.057370935033946996,0,0.0043378474511493745,0.0078125,False
power_k0.1,PANC1,0.05,mlp,cal_skill,8,0,-0.12761573544407048,0.12783501440088363,-0.2344884820000446,-0.020742988888096364,1,0.025641385776316403,0.0234375,True
power_k0.1,PANC1,0.1,lowrank,cal_skill,8,0,-0.07785360610987412,0.07475656094694606,-0.14035165509060762,-0.0153555571291406,1,0.02154098069197276,0.0234375,False
power_k0.1,PANC1,0.1,mlp,cal_skill,8,0,-0.03997511913258994,0.04788641389480421,-0.08000916301046596,5.892474528607777e-05,3,0.05025664736719169,0.109375,True
power_k0.1,PANC1,0.2,lowrank,cal_skill,8,0,0.059552054081476874,0.10317581096035239,-0.026705082487489776,0.1458091906504435,5,0.1465847030831874,0.109375,False
power_k0.1,PANC1,0.2,mlp,cal_skill,8,0,0.0667651457337309,0.0786168329661802,0.0010398285817358605,0.1324904628857259,6,0.04732448412288044,0.0546875,True
power_k0.1,PANC1,0.4,lowrank,cal_skill,8,0,0.38888518591536836,0.05397703569062016,0.34375925479045627,0.43401111704028045,8,1.7182382555671038e-07,0.0078125,False
power_k0.1,PANC1,0.4,mlp,cal_skill,8,0,0.2966197982957595,0.03875513258986722,0.2642196966300971,0.32901989996142195,8,1.1319520871330057e-07,0.0078125,True
power_k0.1,PANC1,0.7,lowrank,cal_skill,8,0,0.5366754113292942,0.04647336813582474,0.49782270326914513,0.5755281193894433,8,6.524849383814092e-09,0.0078125,False
power_k0.1,PANC1,0.7,mlp,cal_skill,8,0,0.5360796093089601,0.03732601019378827,0.5048742838659893,0.567284934751931,8,1.4279616474496024e-09,0.0078125,True
