tag,screen,coverage,rung,split_seed,init_seed,permute_train_residual,inject_kappa,contaminated,n_drugs,n_train_pairs,n_val_pairs,n_test_pairs,n_params,hparams,grid_size,grid_argmin,train_loss,val_loss,best_epoch,n_restarts,d_scale_train,r_scale_train,shrinkage_alpha,heldout_n_pairs,heldout_mse_zero,heldout_mse,heldout_rmse,heldout_mae,heldout_mae_zero,heldout_skill,heldout_pred_std,heldout_true_std,heldout_pearson,heldout_spearman,heldout_sign_threshold,heldout_sign_n,heldout_sign_frac_of_pairs,heldout_sign_accuracy,cal_n_pairs,cal_mse_zero,cal_mse,cal_rmse,cal_mae,cal_mae_zero,cal_skill,cal_pred_std,cal_true_std,cal_pearson,cal_spearman,cal_sign_threshold,cal_sign_n,cal_sign_frac_of_pairs,cal_sign_accuracy,raw_n_pairs,raw_mse_zero,raw_mse,raw_rmse,raw_mae,raw_mae_zero,raw_skill,raw_pred_std,raw_true_std,raw_pearson,raw_spearman,raw_sign_threshold,raw_sign_n,raw_sign_frac_of_pairs,raw_sign_accuracy,dec_n_test_pairs,dec_n_test_rows,dec_additive_lambda,dec_additive_objective,dec_additive_val_score,dec_y_var,dec_additive_test_mse_y,dec_additive_test_r2_y,dec_D_mean_square,dec_D_var,dec_D_std,dec_D_add_mean_square,dec_D_res_mean_square,dec_D_res_var,dec_D_res_std,dec_D_res_mean_abs,dec_D_res_mean,dec_frac_D_removed_by_potential,dec_D_pearson_add,dec_D_res_abs_q50,dec_D_res_abs_q90,dec_D_abs_q50,split_coverage,split_split_seed,split_n_train_pairs,split_n_val_pairs,split_n_test_pairs,split_n_test_pairs_dropped_for_connectivity,split_train_degree_min,split_train_degree_median,split_train_degree_max,split_n_isolated_drugs,split_test_endpoint_degree_min,split_test_endpoint_degree_median
main,A375,0.05,zero,0,0,False,0.0,False,100,211,37,848,0,{},1,0,0.9999999403953552,2.7488067150115967,0,1,0.1261836375158431,0.1014743723589798,0.0,848,0.030242563567891612,0.030242563567891612,0.17390389175602602,0.12186397037690172,0.12186397037690172,0.0,0.0,0.17390372122127778,,,0.14230543775947893,263,0.31014150943396224,,848,0.030242563567891612,0.030242563567891612,0.17390389175602602,0.12186397037690172,0.12186397037690172,0.0,0.0,0.17390372122127778,,,0.14230543775947893,263,0.31014150943396224,,848,0.04848384410180696,0.030242563567891612,0.17390389175602602,0.12186397037690172,0.13519859591981132,0.3762342048541383,0.10874512030847029,0.2200987637388758,0.6272588482133868,0.5156836902074463,0.14230543775947893,289,0.3408018867924528,0.8373702422145328,848,1696,3.0,y,0.03516060539105639,0.029922842164033788,0.019538690114219444,0.34703094020579817,0.04848384410180696,0.04844346579938147,0.2200987637388758,0.01186284366867902,0.030242563567891612,0.030242504254607904,0.17390372122127778,0.12186397037690172,-0.00024354318653466313,0.3762342048541383,0.6272588482133871,0.08112197517987121,0.28014795044285884,0.057751599,0.05,0,211,37,848,637,0,4.0,11,1,3,5.0
main,A375,0.05,zero,1,0,False,0.0,False,100,211,37,929,0,{},1,0,1.0000001192092896,1.4745416641235352,0,1,0.14920067260721112,0.1194364749459374,0.0,929,0.03306082861964892,0.03306082861964892,0.18182636942877378,0.13641231914807034,0.13641231914807034,0.0,0.0,0.18160062633128315,,,0.14230543775947893,337,0.3627556512378902,,929,0.03306082861964892,0.03306082861964892,0.18182636942877378,0.13641231914807034,0.13641231914807034,0.0,0.0,0.18160062633128315,,,0.14230543775947893,337,0.3627556512378902,,929,0.05142657608939356,0.03306082861964892,0.18182636942877378,0.13641231914807034,0.14835670026910655,0.35712561220914074,0.11461530698820718,0.2252608861678265,0.5984184347697503,0.5448732804419694,0.14230543775947893,359,0.38643702906350913,0.8189415041782729,929,1858,3.0,y,0.015844140287260153,0.036890133283186875,0.022967209880941687,0.3774159148563101,0.05142657608939356,0.05074246683711448,0.2252608861678265,0.013429004252190001,0.03306082861964892,0.032978787483914335,0.18160062633128315,0.13641231914807034,-0.009057656194324441,0.35712561220914074,0.5984184347697501,0.10138639034490488,0.31120122001649086,0.08287033199999999,0.05,1,211,37,929,556,1,4.0,10,0,3,4.0
main,A375,0.05,zero,2,0,False,0.0,False,100,211,37,928,0,{},1,0,1.0,2.733731746673584,0,1,0.14187472766168344,0.11284086312935566,0.0,928,0.03746156813274532,0.03746156813274532,0.1935499112186449,0.1407436009691266,0.1407436009691266,0.0,0.0,0.193338272934363,,,0.14230543775947893,326,0.35129310344827586,,928,0.03746156813274532,0.03746156813274532,0.1935499112186449,0.1407436009691266,0.1407436009691266,0.0,0.0,0.193338272934363,,,0.14230543775947893,326,0.35129310344827586,,928,0.055124801199662114,0.03746156813274532,0.1935499112186449,0.1407436009691266,0.15148584803556037,0.3204226170891852,0.11031384156835097,0.23376891151829587,0.5707581187211973,0.47783412969176675,0.14230543775947893,358,0.3857758620689655,0.7737430167597765,928,1856,3.0,y,0.02932341382712453,0.03321402167781606,0.02165535510801097,0.34800563093283066,0.055124801199662114,0.05464790399244884,0.23376891151829587,0.012332707278679323,0.03746156813274532,0.037379687781242246,0.193338272934363,0.1407436009691266,-0.009048776243397194,0.3204226170891852,0.5707581187211974,0.09670870627672604,0.3337269998818133,0.07992115049999998,0.05,2,211,37,928,557,0,4.0,10,3,3,5.0
main,A375,0.05,zero,3,0,False,0.0,False,100,211,37,999,0,{},1,0,1.0,0.8663274645805359,0,1,0.13961833727891482,0.10584079971329706,0.0,999,0.036450499121046566,0.036450499121046566,0.19092013807099179,0.14165120237187104,0.14165120237187104,0.0,0.0,0.19073856839788278,,,0.14230543775947893,392,0.3923923923923924,,999,0.036450499121046566,0.036450499121046566,0.19092013807099179,0.14165120237187104,0.14165120237187104,0.0,0.0,0.19073856839788278,,,0.14230543775947893,392,0.3923923923923924,,999,0.045494754343491976,0.036450499121046566,0.19092013807099179,0.14165120237187104,0.1429069186936937,0.19879775927923415,0.0999583475148725,0.21202409330184552,0.4379790402564977,0.41529160422947997,0.14230543775947893,389,0.3893893893893894,0.7583547557840618,999,1998,3.0,y,0.013392749195125198,0.029658900279592133,0.021177526724595754,0.2859638582362506,0.045494754343491976,0.0449542161404697,0.21202409330184552,0.010214425569716998,0.036450499121046566,0.0363812014744738,0.19073856839788278,0.14165120237187104,-0.008324520801389512,0.19879775927923415,0.43797904025649753,0.10578402963992449,0.31897937239340063,0.086955518,0.05,3,211,37,999,486,1,4.0,9,0,3,4.0
main,A375,0.05,zero,4,0,False,0.0,False,100,211,37,893,0,{},1,0,1.0,2.6728503704071045,0,1,0.11878356912567209,0.103753359292319,0.0,893,0.0329832848755218,0.0329832848755218,0.18161300855258636,0.13758271621619,0.13758271621619,0.0,0.0,0.18149971050350525,,,0.14230543775947893,341,0.3818589025755879,,893,0.0329832848755218,0.0329832848755218,0.18161300855258636,0.13758271621619,0.13758271621619,0.0,0.0,0.18149971050350525,,,0.14230543775947893,341,0.3818589025755879,,893,0.05446332410588529,0.0329832848755218,0.18161300855258636,0.13758271621619,0.15261419986002242,0.39439456887726687,0.16015909328333486,0.23311662515342554,0.6301219950934266,0.586749193533194,0.14230543775947893,358,0.4008958566629339,0.8519553072625698,893,1786,1.0,y,0.02149940113765407,0.037970282817194646,0.02365737219978791,0.37695032945409634,0.05446332410588529,0.05434336092292272,0.23311662515342554,0.02567153519855659,0.0329832848755218,0.032942144912856214,0.18149971050350525,0.13758271621619,-0.006414044173966197,0.39439456887726687,0.6301219950934267,0.10913273504971778,0.2900103567420786,0.084422402,0.05,4,211,37,893,592,0,4.0,11,2,3,5.0
main,A375,0.05,zero,5,0,False,0.0,False,100,211,37,1000,0,{},1,0,1.0,1.217105507850647,0,1,0.14421689734898002,0.12207750237644327,0.0,1000,0.03329971030217238,0.03329971030217238,0.18248208214006212,0.13757032208820338,0.13757032208820338,0.0,0.0,0.18136280044985545,,,0.14230543775947893,387,0.387,,1000,0.03329971030217238,0.03329971030217238,0.18248208214006212,0.13757032208820338,0.13757032208820338,0.0,0.0,0.18136280044985545,,,0.14230543775947893,387,0.387,,1000,0.05207121989867977,0.03329971030217238,0.18248208214006212,0.13757032208820338,0.151636287456,0.36049682786447124,0.1290098691157106,0.22763419355102732,0.605583433003961,0.5633001593001593,0.14230543775947893,404,0.404,0.8168316831683168,1000,2000,3.0,y,0.015343469858029674,0.035675814011341365,0.022137199677594893,0.37948999087848534,0.05207121989867977,0.051817326073626574,0.22763419355102732,0.016661577087106715,0.03329971030217238,0.03289246538701409,0.18136280044985545,0.13757032208820338,-0.0201803100857814,0.36049682786447124,0.605583433003961,0.10636759414431263,0.3017904095864523,0.08435475749999999,0.05,5,211,37,1000,485,0,4.0,9,2,3,4.0
main,A375,0.05,zero,6,0,False,0.0,False,100,211,37,949,0,{},1,0,0.9999999403953552,1.3713876008987427,0,1,0.14506464096230368,0.12019625376028521,0.0,949,0.03442729203343329,0.03442729203343329,0.18554592971400177,0.13846411034372902,0.13846411034372902,0.0,0.0,0.1855443106252005,,,0.14230543775947893,352,0.37091675447839834,,949,0.03442729203343329,0.03442729203343329,0.18554592971400177,0.13846411034372902,0.13846411034372902,0.0,0.0,0.1855443106252005,,,0.14230543775947893,352,0.37091675447839834,,949,0.05090425915565487,0.03442729203343329,0.18554592971400177,0.13846411034372902,0.1458528073667018,0.3236854321332596,0.11801755345856975,0.22561830227374263,0.5709460572788498,0.485139587307092,0.14230543775947893,357,0.3761854583772392,0.7871148459383753,949,1898,3.0,y,0.01561935660154142,0.033398175481822466,0.021286786355636283,0.3626362503777494,0.05090425915565487,0.050903618320885906,0.22561830227374263,0.013928143569027423,0.03442729203343329,0.03442669120538089,0.1855443106252005,0.13846411034372902,0.0007751309904790758,0.3236854321332596,0.5709460572788497,0.10392874621079952,0.32210377875317653,0.08122505299999999,0.05,6,211,37,949,536,1,4.0,10,0,3,5.0
main,A375,0.05,zero,7,0,False,0.0,False,100,211,37,1003,0,{},1,0,1.0,2.140974521636963,0,1,0.12554537894684284,0.08849251352819937,0.0,1003,0.031833652539514895,0.031833652539514895,0.17841987708636864,0.13253321045840538,0.13253321045840538,0.0,0.0,0.17620043115833206,,,0.14230543775947893,341,0.33998005982053836,,1003,0.031833652539514895,0.031833652539514895,0.17841987708636864,0.13253321045840538,0.13253321045840538,0.0,0.0,0.17620043115833206,,,0.14230543775947893,341,0.33998005982053836,,1003,0.05029119050290174,0.031833652539514895,0.17841987708636864,0.13253321045840538,0.147940451555334,0.367013343267781,0.16841627753894645,0.22317674314621583,0.6268898211402226,0.520931325354994,0.14230543775947893,404,0.40279162512462613,0.8094059405940595,1003,2006,1.0,y,0.01923663631552969,0.03289530031258368,0.02283963516767279,0.3056869841393185,0.05029119050290174,0.04980785868135199,0.22317674314621583,0.028400884908187925,0.031833652539514895,0.031046591940382114,0.17620043115833206,0.13253321045840538,-0.028054600320317865,0.367013343267781,0.6268898211402228,0.1016470614945722,0.29430502787960994,0.090758392,0.05,7,211,37,1003,482,1,4.0,9,0,3,4.0
main,A375,0.05,potential,1,0,False,0.0,False,100,211,37,929,100,"{'lr': 0.01, 'weight_decay': 0.01}",4,2,0.7615084052085876,1.3668681383132935,40,2,0.14920067260721112,0.1194364749459374,0.875,929,0.03306082861964892,0.03549797169842423,0.18840905418377385,0.14851489201971174,0.13641231914807034,-0.07371693876199004,0.053661733865737915,0.18160062633128315,0.018804564936138576,-0.06629604895284917,0.14230543775947893,337,0.3627556512378902,0.5548961424332344,929,0.03306082861964892,0.034863838698762896,0.18671860833554565,0.1467208804617563,0.13641231914807034,-0.05453614305487786,0.046954017132520676,0.18160062633128315,0.018804565235112675,-0.06629604895284917,0.14230543775947893,337,0.3627556512378902,0.5548961424332344,929,0.05142657608939356,0.034863838698762896,0.18671860833554565,0.1467208804617563,0.14835670026910655,0.32206572263026145,0.15755874991303737,0.2252608861678265,0.5734341538856362,0.5286347795840611,0.14230543775947893,359,0.38643702906350913,0.8189415041782729,929,1858,3.0,y,0.015844140287260153,0.036890133283186875,0.022967209880941687,0.3774159148563101,0.05142657608939356,0.05074246683711448,0.2252608861678265,0.013429004252190001,0.03306082861964892,0.032978787483914335,0.18160062633128315,0.13641231914807034,-0.009057656194324441,0.35712561220914074,0.5984184347697501,0.10138639034490488,0.31120122001649086,0.08287033199999999,0.05,1,211,37,929,556,1,4.0,10,0,3,4.0
main,A375,0.05,potential,4,0,False,0.0,False,100,211,37,893,100,"{'lr': 0.003, 'weight_decay': 0.0001}",4,0,1.0000710487365723,2.6695210933685303,0,2,0.11878356912567209,0.103753359292319,1.0,893,0.0329832848755218,0.033013809505875714,0.18169702668419127,0.13757724135960397,0.13758271621619,-0.0009254575603707682,0.0013715287204831839,0.18149971050350525,-0.05649226170334709,-0.047080921622618926,0.14230543775947893,341,0.3818589025755879,0.4398826979472141,893,0.0329832848755218,0.033013809505875714,0.18169702668419127,0.13757724135960397,0.13758271621619,-0.0009254575603707682,0.0013715287204831839,0.18149971050350525,-0.05649226170334709,-0.047080921622618926,0.14230543775947893,341,0.3818589025755879,0.4398826979472141,893,0.05446332410588529,0.033013809505875714,0.18169702668419127,0.13757724135960397,0.15261419986002242,0.3938341067524328,0.16020822650605016,0.23311662515342554,0.6297377570507738,0.5865865470312784,0.14230543775947893,358,0.4008958566629339,0.8547486033519553,893,1786,1.0,y,0.02149940113765407,0.037970282817194646,0.02365737219978791,0.37695032945409634,0.05446332410588529,0.05434336092292272,0.23311662515342554,0.02567153519855659,0.0329832848755218,0.032942144912856214,0.18149971050350525,0.13758271621619,-0.006414044173966197,0.39439456887726687,0.6301219950934267,0.10913273504971778,0.2900103567420786,0.084422402,0.05,4,211,37,893,592,0,4.0,11,2,3,5.0
