block,screen,coverage,rung,metric,n_split_seeds,n_missing,mean,sd,ci_lo,ci_hi,n_seeds_positive,p_ttest,p_wilcoxon,flexible_diagnostic
ridge_D,A375,0.1,lowrank,cal_skill,8,0,-0.05851582324823165,0.0562699170668807,-0.10555865117451266,-0.01147299532195064,1,0.02167259886424564,0.015625,False
ridge_D,A375,0.1,mlp,cal_skill,8,0,-0.04089703967525701,0.0745276331775795,-0.10320370025125807,0.02140962090074404,3,0.1645792555781255,0.109375,True
ridge_D,A375,0.1,mlp_ordered,cal_skill,8,0,-0.050098062901651474,0.09585672841600616,-0.13023629333640985,0.030040167533106912,3,0.1828729882026043,0.46875,True
ridge_D,A375,0.1,potential,cal_skill,8,0,-0.00040380283147273266,0.001079358090976959,-0.0013061687774597753,0.0004985631145143101,1,0.3251280588383407,0.3125,False
ridge_D,A375,0.1,zero,cal_skill,8,0,0.0,0.0,0.0,0.0,0,,,False
ridge_D,A375,0.7,lowrank,cal_skill,8,0,0.3725998151098213,0.031579950623321924,0.34619831568469095,0.3990013145349517,8,5.6192101781369685e-09,0.0078125,False
ridge_D,A375,0.7,mlp,cal_skill,8,0,0.3054239129186891,0.041698677747044804,0.27056294591786434,0.34028487991951384,8,1.5333188799702845e-07,0.0078125,True
ridge_D,A375,0.7,mlp_ordered,cal_skill,8,0,0.3538993396026646,0.06676118476816555,0.2980855923836914,0.4097130868216378,8,1.409375709415729e-06,0.0078125,True
ridge_D,A375,0.7,potential,cal_skill,8,0,0.00035225151856843606,0.000882993039614905,-0.0003859491362030368,0.0010904521733399088,4,0.29635816750868776,0.375,False
ridge_D,A375,0.7,zero,cal_skill,8,0,0.0,0.0,0.0,0.0,0,,,False
ridge_D,PANC1,0.1,lowrank,cal_skill,8,0,-0.09356283295709941,0.07575566909775552,-0.15689615725488043,-0.030229508659318408,0,0.010083977280218674,0.0078125,False
ridge_D,PANC1,0.1,mlp,cal_skill,8,0,-0.0730344725853781,0.04908813081915301,-0.11407317695388622,-0.03199576821686997,0,0.0039946610724113435,0.0078125,True
ridge_D,PANC1,0.1,mlp_ordered,cal_skill,8,0,-0.014982832867158777,0.04457376260965389,-0.05224743096458559,0.022281765230268036,2,0.3734020150142845,0.1953125,True
ridge_D,PANC1,0.1,potential,cal_skill,8,0,0.0005445765307759143,0.0025806767409646343,-0.0016129232166336984,0.002702076278185527,3,0.5693956991244493,1.0,False
ridge_D,PANC1,0.1,zero,cal_skill,8,0,0.0,0.0,0.0,0.0,0,,,False
ridge_D,PANC1,0.7,lowrank,cal_skill,8,0,0.3709360984027697,0.05360468736938649,0.32612145826454264,0.41575073854099676,8,2.2688962698729317e-07,0.0078125,False
ridge_D,PANC1,0.7,mlp,cal_skill,8,0,0.3330076247020669,0.05140063684630375,0.29003561691346597,0.37597963249066785,8,3.570076476738634e-07,0.0078125,True
ridge_D,PANC1,0.7,mlp_ordered,cal_skill,8,0,0.3712695490226572,0.05083984579415293,0.32876637428631705,0.4137727237589973,8,1.5652085576587979e-07,0.0078125,True
ridge_D,PANC1,0.7,potential,cal_skill,8,0,0.001948379410393275,0.0032112755903952687,-0.0007363141682959723,0.004633072989082523,6,0.12985325560342115,0.1953125,False
ridge_D,PANC1,0.7,zero,cal_skill,8,0,0.0,0.0,0.0,0.0,0,,,False
