block,screen,coverage,rung,metric,n_split_seeds,n_missing,mean,sd,ci_lo,ci_hi,n_seeds_positive,p_ttest,p_wilcoxon,flexible_diagnostic
rank2,A375,0.05,lowrank,cal_skill,8,0,-0.05138669922271866,0.09412733355319772,-0.13007911937041022,0.027305720924972923,0,0.16647232643677592,0.015625,False
rank2,A375,0.1,lowrank,cal_skill,8,0,-0.031679370576120316,0.055235853143004485,-0.07785769942773829,0.014498958275497666,2,0.1487937750250289,0.15625,False
rank2,A375,0.2,lowrank,cal_skill,8,0,-0.01514685716694121,0.019065875487217936,-0.03108632796344247,0.0007926136295600475,1,0.059457177053262006,0.0625,False
rank2,A375,0.4,lowrank,cal_skill,8,0,0.19667211445387917,0.03802927813692874,0.1648788422969314,0.22846538661082694,8,1.66754331715711e-06,0.0078125,False
rank2,A375,0.7,lowrank,cal_skill,8,0,0.24996264421027414,0.025167842658802033,0.22892180119523092,0.27100348722531736,8,1.8613278148051653e-08,0.0078125,False
rank2,PANC1,0.05,lowrank,cal_skill,8,0,-0.04457780764469549,0.06627794068211083,-0.09998755269747311,0.010831937408082137,0,0.09886104556141234,0.03125,False
rank2,PANC1,0.1,lowrank,cal_skill,8,0,-0.018515868192077983,0.02460356079965028,-0.03908495976717424,0.0020532233830182767,1,0.07081795953415733,0.0625,False
rank2,PANC1,0.2,lowrank,cal_skill,8,0,-0.028872986065506784,0.028260317297788235,-0.05249920257835177,-0.005246769552661797,0,0.023324708604939248,0.015625,False
rank2,PANC1,0.4,lowrank,cal_skill,8,0,0.16114871306567183,0.021669655161723957,0.14303242798596932,0.17926499814537433,8,1.380774568633369e-07,0.0078125,False
rank2,PANC1,0.7,lowrank,cal_skill,8,0,0.23718349367335922,0.020381843530602774,0.2201438460603921,0.25422314128632634,8,6.185439162204036e-09,0.0078125,False
