screen,coverage,dec_D_mean_square,dec_D_res_mean_square,dec_frac_D_removed_by_potential,dec_D_res_std,dec_D_std,dec_D_res_mean_abs,dec_D_pearson_add,dec_additive_test_r2_y,dec_additive_lambda,dec_D_res_abs_q50,dec_D_abs_q50,dec_y_var,dec_D_var,dec_D_res_var,dec_D_res_mean,dec_D_mean_square_sd,dec_D_res_mean_square_sd,dec_frac_D_removed_by_potential_sd,dec_D_res_std_sd,dec_D_std_sd,dec_D_res_mean_abs_sd,dec_D_pearson_add_sd,dec_additive_test_r2_y_sd,dec_additive_lambda_sd,dec_D_res_abs_q50_sd,dec_D_abs_q50_sd,dec_y_var_sd,dec_D_var_sd,dec_D_res_var_sd,dec_D_res_mean_sd,n_split_seeds
A375,0.05,0.051032496174684534,0.03371992489899685,0.33727129569680964,0.1830235552027125,0.22508731485640687,0.13585268149656218,0.5834944685596616,0.3478974873851049,2.5,0.1007596547926036,0.08103240049999999,0.03370318375344638,0.05070752709602521,0.03353625930498395,-0.010068540001904025,0.003104834421039956,0.002353113132848559,0.06122879714502721,0.006645088062931465,0.007028739920230775,0.006294248266120753,0.06344589146612413,0.034946870301404684,0.9258200997725514,0.00878370140288761,0.0099918116476277,0.0030210747483272664,0.003140817632172894,0.0024431826619734994,0.00969772263357048,8
A375,0.1,0.051032496174684534,0.029515220640295305,0.42089713460468675,0.17141301554198446,0.22508731485640687,0.12825836792592263,0.6514134289584572,0.4277330864106141,2.75,0.0959528732265673,0.08103240049999999,0.03370318375344638,0.05070752709602521,0.029409549825265408,-0.008152629602446951,0.003104834421039956,0.0019008297799068782,0.03413512295235573,0.005568064867110034,0.007028739920230775,0.004237354499854712,0.027303120222950294,0.020928213107232124,0.7071067811865476,0.0037086877377074208,0.0099918116476277,0.0030210747483272664,0.003140817632172894,0.0019015590577085132,0.006693745105497673,8
A375,0.2,0.051032496174684534,0.026615054357177873,0.4776357517962511,0.1628587020415803,0.22508731485640687,0.12249480797889727,0.6909922067153419,0.4809453404505972,1.29125,0.09284157029123233,0.08103240049999999,0.03370318375344637,0.05070752709602521,0.026541093782604813,-0.004167917359872391,0.0031048344210399567,0.0014591845211553358,0.02743174347103922,0.004552795302930379,0.007028739920230776,0.004358763072735362,0.022677626642661524,0.01880269644506002,1.118180122213897,0.004752388755685239,0.00999181164762771,0.0030210747483272664,0.0031408176321728928,0.0014879079322675265,0.008041964184688472,8
A375,0.4,0.051032496174684534,0.02538198404139611,0.50177664764119,0.15913993904450596,0.22508731485640687,0.11963639141921496,0.7081130286333375,0.5096107136011685,2.03875,0.09019759345262156,0.08103240049999999,0.03370318375344638,0.05070752709602521,0.025335418559184673,-0.003825271275761973,0.003104834421039956,0.0010599620192151972,0.021333755589122004,0.003363392861059664,0.007028739920230775,0.004132813817351035,0.01685730812643367,0.025318766933147968,1.3542571764624325,0.0056299818428274155,0.0099918116476277,0.0030210747483272664,0.003140817632172894,0.0010805289271489632,0.006041076713705569,8
A375,0.7,0.051032496174684534,0.024765770594056383,0.5138296103922719,0.1572604681740345,0.22508731485640687,0.11814811924069098,0.7160717047904457,0.5212406966407539,2.29,0.09056057370320146,0.08103240049999999,0.03370318375344638,0.05070752709602521,0.024741503737369067,-0.0021776648437507847,0.003104834421039956,0.001089852451110869,0.023096748874283198,0.003488575157781057,0.007028739920230775,0.004417030249673491,0.017658860790013504,0.02417101825049846,3.34103063653803,0.005926989957430399,0.0099918116476277,0.0030210747483272664,0.003140817632172894,0.0011039639481069021,0.004723755469128688,8
PANC1,0.05,0.0266511447313156,0.02064497381671206,0.22295779895396797,0.14349599293650547,0.16299667528108713,0.105953598146612,0.4825093546137858,0.20888334332419473,3.625,0.07620335852218792,0.0654331721875,0.016572901861603987,0.026624170104255798,0.020609255312516336,0.0013142763467663245,0.0025762901835734878,0.001312269988031179,0.03153716664799924,0.004555100586338983,0.008018118879326193,0.005193226169774384,0.019895049259758713,0.045632979238215514,2.669269563007828,0.007675755361847291,0.008817043565322908,0.0019470505178141278,0.0025986697794034785,0.001305070831636876,0.006232741371641962,8
PANC1,0.1,0.0266511447313156,0.01926489006451767,0.27641372552697197,0.13859120868113953,0.16299667528108713,0.10392488448269596,0.5279030425709808,0.27410956553868004,2.75,0.07862304276330284,0.0654331721875,0.016572901861603987,0.026624170104255798,0.019245391307129937,-0.0011150153085455147,0.0025762901835734878,0.0017907838794121722,0.0288341600264968,0.006578595892808947,0.008018118879326193,0.004905616314654214,0.02791021264521903,0.03390234407412662,0.7071067811865476,0.005422757507380166,0.008817043565322908,0.0019470505178141278,0.0025986697794034785,0.0018123628774879869,0.004567650005286198,8
PANC1,0.2,0.0266511447313156,0.018154568491037252,0.3170631060988455,0.13457295094390398,0.16299667528108713,0.10180698916057872,0.5665572591630441,0.3181985684525668,2.66625,0.07844292194237781,0.0654331721875,0.016572901861603987,0.026624170104255798,0.018137926738223484,-0.0013705145641936328,0.0025762901835734878,0.0014795184289319312,0.03869916960853627,0.005661661792704152,0.008018118879326193,0.004502301543736701,0.031224246909040725,0.02780517107255543,3.2120262296562903,0.005253935273448518,0.008817043565322908,0.0019470505178141278,0.0025986697794034785,0.0014971998496840276,0.004107615595187731,8
PANC1,0.4,0.0266511447313156,0.01718797359684701,0.35389840459005184,0.13096075677878152,0.16299667528108713,0.10001640301637445,0.5952400276349333,0.364489222612297,1.2662499999999999,0.07859239843935537,0.0654331721875,0.016572901861603987,0.026624170104255798,0.017176699605762225,0.0008715618611102414,0.0025762901835734878,0.001405188866066567,0.02514519896112609,0.005448962123042007,0.008018118879326193,0.0041054992838382015,0.01994413165205049,0.026702083110387756,1.4727616187673707,0.003909892988800111,0.008817043565322908,0.0019470505178141278,0.0025986697794034785,0.0014132877038255985,0.0034664714059187674,8
PANC1,0.7,0.0266511447313156,0.016668137524707555,0.37401983676857664,0.12894272893701483,0.16299667528108713,0.09853029373682944,0.6122704492997832,0.38067435683136347,2.41375,0.07783128576894735,0.0654331721875,0.016572901861603987,0.026624170104255798,0.01665782413606055,0.0003752890650028317,0.0025762901835734878,0.0015267155669443663,0.020968223008102835,0.006009211056946704,0.008018118879326193,0.00514429202798737,0.017518643772336143,0.020360503118858994,3.261914151011861,0.005354501661178047,0.008817043565322908,0.0019470505178141278,0.0025986697794034785,0.0015369630949764535,0.0034096580079356056,8
