tag,screen,coverage,family,split_seed,init_seed,shuffle_train_direction,n_drugs,n_train_rows,n_val_rows,n_test_rows,n_params,n_pair_params,n_first_order_params,pair_hidden,pair_evals_per_row,train_loss,val_loss,epochs_run,train_head_A_rms_std_units,test_head_A_rms_std_units,test_head_sym_rms_std_units,test_first_order_A_rms_std_units,test_head_A_over_sym,restart_train_loss_worst,restart_train_loss_ratio,n_restarts_collapsed,y_mean_train,y_std_train,ordering_threshold_source,const_baseline_mse,const_baseline_mae,test_n_rows,test_mae,test_mse,test_rmse,test_r2,test_n_pairs,test_D_mae,test_D_rmse,test_D_true_std,test_D_pred_std,test_D_pearson,test_D_spearman,test_ordering_threshold,test_ordering_n,test_ordering_frac_of_pairs,test_ordering_accuracy,test_ordering_balanced_accuracy,test_ordering_curve,test_pred_A_rms,test_true_A_rms,test_pred_A_rms_ratio,head_can_be_antisymmetric,collapsed,split_coverage,split_split_seed,split_n_train_pairs,split_n_val_pairs,split_n_test_pairs,split_n_test_pairs_dropped_for_connectivity,split_train_degree_min,split_train_degree_median,split_train_degree_max,split_n_isolated_drugs,split_test_endpoint_degree_min,split_test_endpoint_degree_median,nice,lr
main,A375,0.05,additive,0,0,False,100,422,74,1696,1801,0,201,48,0,0.3704387843608856,1.4117186069488525,180,0.0,0.0,0.0,0.3893502652645111,0.0,0.37044116854667664,1.0000064361127714,2,-0.018845345682464456,0.15797746020795703,2 * sqrt(2) * median posterior synergy_sd,0.03019370914562712,0.10144410314040284,1696,0.09209622477619722,0.019018792770984925,0.1379086392180886,0.36440553785880503,848,0.12251416376698028,0.17229792349318476,0.2200987637388758,0.1228022351861,0.625968235411364,0.5175563849081477,0.14230543775947893,289,0.3408018867924528,0.8373702422145328,0.8377192982456141,"{'0.00': {'n': 847, 'accuracy': 0.6611570247933884}, '0.05': {'n': 445, 'accuracy': 0.748314606741573}, '0.10': {'n': 363, 'accuracy': 0.7878787878787878}, '0.15': {'n': 273, 'accuracy': 0.8424908424908425}, '0.20': {'n': 222, 'accuracy': 0.8783783783783784}, '0.30': {'n': 126, 'accuracy': 0.9285714285714286}}",0.06150856614112854,0.11009523616147858,0.5586850828941669,False,False,0.05,0,211,37,848,637,0,4.0,11,1,3,5.0,additive null,0.03
main,A375,0.05,additive,1,0,False,100,422,74,1858,1801,0,201,48,0,0.47122007608413696,0.41822490096092224,20,0.0,0.0,0.0,0.3202565610408783,0.0,0.47122007608413696,1.0004403158758643,2,-0.019548124665876777,0.18350201696528365,2 * sqrt(2) * median posterior synergy_sd,0.03736334396976236,0.11762284727698336,1858,0.11497441117321176,0.025650321828364842,0.16015717851025238,0.3046834059540986,929,0.15126548004463752,0.19974234479521794,0.2252608861678265,0.11600363999605179,0.4660110451158892,0.43966078503683675,0.14230543775947893,359,0.38643702906350913,0.7799442896935933,0.7724478032534905,"{'0.00': {'n': 929, 'accuracy': 0.6716899892357373}, '0.05': {'n': 541, 'accuracy': 0.7079482439926063}, '0.10': {'n': 439, 'accuracy': 0.7471526195899773}, '0.15': {'n': 345, 'accuracy': 0.7942028985507247}, '0.20': {'n': 276, 'accuracy': 0.8043478260869565}, '0.30': {'n': 157, 'accuracy': 0.8407643312101911}}",0.05876772478222847,0.11338714222674628,0.5182926708277693,False,False,0.05,1,211,37,929,556,1,4.0,10,0,3,4.0,additive null,0.03
main,A375,0.05,additive,2,0,False,100,422,74,1856,1801,0,201,48,0,0.3281797468662262,0.8307738900184631,60,0.0,0.0,0.0,0.3293376863002777,0.0,0.3281797468662262,1.0007270159584547,2,-0.03025461429620853,0.18758003615218868,2 * sqrt(2) * median posterior synergy_sd,0.033263187262822694,0.11598153761563113,1856,0.10229945090520706,0.02177977283569136,0.14757971688443963,0.3442596910738376,928,0.14335612870423434,0.19445391678609905,0.23376891151829587,0.12280629575252533,0.5570730793093167,0.4673033870369256,0.14230543775947893,358,0.3857758620689655,0.7625698324022346,0.7556012658227849,"{'0.00': {'n': 928, 'accuracy': 0.665948275862069}, '0.05': {'n': 517, 'accuracy': 0.7137330754352031}, '0.10': {'n': 431, 'accuracy': 0.7354988399071926}, '0.15': {'n': 343, 'accuracy': 0.7667638483965015}, '0.20': {'n': 274, 'accuracy': 0.791970802919708}, '0.30': {'n': 169, 'accuracy': 0.8698224852071006}}",0.06177717074751854,0.11739335713708646,0.5262407708076536,False,False,0.05,2,211,37,928,557,0,4.0,10,3,3,5.0,additive null,0.03
main,A375,0.05,additive,3,0,False,100,422,74,1998,1801,0,201,48,0,0.3121607005596161,0.4242507517337799,95,0.0,0.0,0.0,0.32478582859039307,0.0,0.3121607005596161,1.00004477794626,2,-0.017780450834123225,0.177899917102027,2 * sqrt(2) * median posterior synergy_sd,0.029669527564540825,0.10498387731103379,1998,0.10336091864319333,0.021294487436736394,0.14592630824061983,0.2820203299517201,999,0.14355148483716804,0.19114741535106816,0.21202409330184552,0.11428876966238022,0.4439755039957951,0.42126815793749656,0.14230543775947893,389,0.3893893893893894,0.7660668380462725,0.7553706423016262,"{'0.00': {'n': 999, 'accuracy': 0.6546546546546547}, '0.05': {'n': 593, 'accuracy': 0.7082630691399663}, '0.10': {'n': 472, 'accuracy': 0.7415254237288136}, '0.15': {'n': 369, 'accuracy': 0.7723577235772358}, '0.20': {'n': 287, 'accuracy': 0.8013937282229965}, '0.30': {'n': 155, 'accuracy': 0.8258064516129032}}",0.05777936801314354,0.10664749685704299,0.5417789419904964,False,False,0.05,3,211,37,999,486,1,4.0,9,0,3,4.0,additive null,0.03
main,A375,0.05,additive,4,0,False,100,422,74,1786,1801,0,201,48,0,0.36349400877952576,0.6017400622367859,65,0.0,0.0,0.0,0.34199070930480957,0.0,0.36349400877952576,1.0049259090904221,2,-0.04439586813981042,0.1885486549665089,2 * sqrt(2) * median posterior synergy_sd,0.0380023529794572,0.13374307342476768,1786,0.10852905474985337,0.023497106073170494,0.153287657928388,0.3811711599227291,893,0.13441186273603634,0.18198420973796334,0.23311662515342554,0.1289253979921341,0.6306479612687952,0.5893186779825402,0.14230543775947893,358,0.4008958566629339,0.840782122905028,0.846867088607595,"{'0.00': {'n': 893, 'accuracy': 0.7066069428891377}, '0.05': {'n': 528, 'accuracy': 0.7765151515151515}, '0.10': {'n': 422, 'accuracy': 0.8104265402843602}, '0.15': {'n': 347, 'accuracy': 0.8443804034582133}, '0.20': {'n': 271, 'accuracy': 0.8597785977859779}, '0.30': {'n': 164, 'accuracy': 0.8963414634146342}}",0.06448188424110413,0.11668689312202687,0.5526060598226001,False,False,0.05,4,211,37,893,592,0,4.0,11,2,3,5.0,additive null,0.03
main,A375,0.05,additive,5,0,False,100,422,74,2000,1801,0,201,48,0,0.3216119110584259,0.3658943772315979,95,0.0,0.0,0.0,0.35567256808280945,0.0,0.3216119110584259,1.0002983791864621,2,-0.03738755831516588,0.20435928649100682,2 * sqrt(2) * median posterior synergy_sd,0.03567930116021125,0.1250587653092678,2000,0.10599064113345043,0.021706546524015543,0.1473314173013195,0.39156128246674293,1000,0.1392345904411515,0.1821044602552514,0.22763419355102732,0.14528870582580566,0.6076998719840263,0.566962814962815,0.14230543775947893,404,0.404,0.8193069306930693,0.8207309854986682,"{'0.00': {'n': 1000, 'accuracy': 0.706}, '0.05': {'n': 579, 'accuracy': 0.7858376511226253}, '0.10': {'n': 468, 'accuracy': 0.8098290598290598}, '0.15': {'n': 389, 'accuracy': 0.8200514138817481}, '0.20': {'n': 315, 'accuracy': 0.8634920634920635}, '0.30': {'n': 187, 'accuracy': 0.9090909090909091}}",0.07268499583005905,0.11409559577244839,0.6370534755348628,False,False,0.05,5,211,37,1000,485,0,4.0,9,2,3,4.0,additive null,0.03
main,A375,0.05,additive,6,0,False,100,422,74,1898,1801,0,201,48,0,0.32900938391685486,0.38182610273361206,65,0.0,0.0,0.0,0.33029502630233765,0.0,0.32900938391685486,1.0003890197300875,2,-0.039596683061611376,0.19940668444482085,2 * sqrt(2) * median posterior synergy_sd,0.03344782024554865,0.12033581238077247,1898,0.10635960900264547,0.021154604844524444,0.14544622664244145,0.3665939968475763,949,0.140064247141678,0.18490790050267683,0.22561830227374263,0.13172069191932678,0.5731595463246717,0.48632966150420265,0.14230543775947893,357,0.3761854583772392,0.7871148459383753,0.7870527306967985,"{'0.00': {'n': 948, 'accuracy': 0.6666666666666666}, '0.05': {'n': 528, 'accuracy': 0.7159090909090909}, '0.10': {'n': 439, 'accuracy': 0.7425968109339408}, '0.15': {'n': 344, 'accuracy': 0.7965116279069767}, '0.20': {'n': 265, 'accuracy': 0.8377358490566038}, '0.30': {'n': 157, 'accuracy': 0.9044585987261147}}",0.06586303561925888,0.11280986122194157,0.5838411190816046,False,False,0.05,6,211,37,949,536,1,4.0,10,0,3,5.0,additive null,0.03
main,A375,0.05,additive,7,0,False,100,422,74,2006,1801,0,201,48,0,0.314553439617157,0.6250728964805603,85,0.0,0.0,0.0,0.3858444094657898,0.0,0.3145712912082672,1.0000567521726418,2,-0.030583193599526062,0.17604152801656608,2 * sqrt(2) * median posterior synergy_sd,0.03290845133957972,0.11671258287573771,2006,0.10446529966855762,0.022540533576195645,0.15013505112463127,0.31477951676966287,1003,0.1292757921750716,0.1757791222894047,0.22317674314621583,0.1357647180557251,0.6280405485244701,0.5254193998865583,0.14230543775947893,404,0.40279162512462613,0.8044554455445545,0.8094800453229258,"{'0.00': {'n': 1003, 'accuracy': 0.6679960119641076}, '0.05': {'n': 600, 'accuracy': 0.74}, '0.10': {'n': 485, 'accuracy': 0.7731958762886598}, '0.15': {'n': 390, 'accuracy': 0.8051282051282052}, '0.20': {'n': 296, 'accuracy': 0.8378378378378378}, '0.30': {'n': 154, 'accuracy': 0.9285714285714286}}",0.06792464852333069,0.11212848712849663,0.6057751269353222,False,False,0.05,7,211,37,1003,482,1,4.0,9,0,3,4.0,additive null,0.03
main,A375,0.05,order_insensitive,0,0,False,100,422,74,1696,34224,32423,201,86,2,0.42821386456489563,1.429086685180664,125,0.0,0.0,0.6650136709213257,0.0,0.0,0.4398360848426819,1.0271411582845302,2,-0.018845345682464456,0.15797746020795703,2 * sqrt(2) * median posterior synergy_sd,0.03019370914562712,0.10144410314040284,1696,0.10849592623579914,0.02521740098606538,0.15879987716010796,0.15725248130420533,848,0.13519859591981132,0.22019047232295716,0.2200987637388758,0.0,,,0.14230543775947893,289,0.3408018867924528,0.5,0.5,"{'0.00': {'n': 847, 'accuracy': 0.5}, '0.05': {'n': 445, 'accuracy': 0.5}, '0.10': {'n': 363, 'accuracy': 0.5}, '0.15': {'n': 273, 'accuracy': 0.5}, '0.20': {'n': 222, 'accuracy': 0.5}, '0.30': {'n': 126, 'accuracy': 0.5}}",0.0,0.11009523616147858,0.0,False,False,0.05,0,211,37,848,637,0,4.0,11,1,3,5.0,order-insensitive,0.03
main,A375,0.05,order_insensitive,1,0,False,100,422,74,1858,34224,32423,201,86,2,0.4226992130279541,0.5456590056419373,125,0.0,0.0,0.659144401550293,0.0,0.0,0.9640862345695496,2.2807854967683423,2,-0.019548124665876777,0.18350201696528365,2 * sqrt(2) * median posterior synergy_sd,0.03736334396976236,0.11762284727698336,1858,0.12492540466210424,0.03173756797902694,0.17815040830440704,0.13967326343351216,929,0.14835670026910655,0.22677428445349257,0.2252608861678265,0.0,,,0.14230543775947893,359,0.38643702906350913,0.5,0.5,"{'0.00': {'n': 929, 'accuracy': 0.5}, '0.05': {'n': 541, 'accuracy': 0.5}, '0.10': {'n': 439, 'accuracy': 0.5}, '0.15': {'n': 345, 'accuracy': 0.5}, '0.20': {'n': 276, 'accuracy': 0.5}, '0.30': {'n': 157, 'accuracy': 0.5}}",0.0,0.11338714222674628,0.0,False,False,0.05,1,211,37,929,556,1,4.0,10,0,3,4.0,order-insensitive,0.03
