screen,coverage,family,mean,std,count
A375,0.1,additive,0.04421304629755213,0.11997020603653889,8
A375,0.1,order_insensitive,,,0
A375,0.1,structured,0.013926537650256131,0.11615615012729233,8
A375,0.1,unrestricted,0.011223775628187577,0.09054064974725463,8
A375,0.4,additive,-0.012915911238910477,0.08354436497740211,8
A375,0.4,order_insensitive,,,0
A375,0.4,structured,-0.03157109214435033,0.08134221798218078,8
A375,0.4,unrestricted,-0.023563511352614468,0.08901726686535515,8
