tag,screen,coverage,family,n_runs,n_collapsed_runs,n_collapsed_restarts,mean_head_A_over_sym,min_head_A_over_sym,mean_first_order_A_rms,worst_restart_ratio,zero_A_is_expected
direction_shuffle,A375,0.1,additive,8,0,16,0.0,0.0,0.16331000323407352,1.2070623151492927,True
direction_shuffle,A375,0.1,order_insensitive,8,0,16,0.0,0.0,0.0,1.249899204352135,True
direction_shuffle,A375,0.1,structured,8,0,0,0.5970228437421721,0.1261111976744254,0.044938241015188396,30.431663726539227,False
direction_shuffle,A375,0.1,unrestricted,8,1,0,0.6334529672346769,0.03550210858026035,0.05202993121929467,10.809545218446445,False
direction_shuffle,A375,0.4,additive,8,0,16,0.0,0.0,0.10043501667678356,1.009158063848992,True
direction_shuffle,A375,0.4,order_insensitive,8,0,16,0.0,0.0,0.0,1.3726872793327685,True
direction_shuffle,A375,0.4,structured,8,8,16,2.5924443767335467e-11,0.0,0.09845644421875477,1.0391432382927532,False
direction_shuffle,A375,0.4,unrestricted,8,0,0,0.30035700574612334,0.20866906230794097,0.10108880419284105,1.2143605658810128,False
initvar,A375,0.1,additive,8,0,16,0.0,0.0,0.33660275116562843,1.0008155753045098,True
initvar,A375,0.1,order_insensitive,8,0,16,0.0,0.0,0.0,1.06454022494504,True
initvar,A375,0.1,structured,8,0,0,0.7804875588667667,0.7440480985972229,0.03704132838174701,1.4833391650417922,False
initvar,A375,0.1,unrestricted,8,0,0,0.7866907340837259,0.6923565012311961,0.07530172797851264,1.8277969894064798,False
initvar,A375,0.4,additive,8,0,16,0.0,0.0,0.3002639412879944,1.00063279074909,True
initvar,A375,0.4,order_insensitive,8,0,16,0.0,0.0,0.0,1.3664145452548784,True
initvar,A375,0.4,structured,8,0,0,0.4792649024149191,0.44335404487681224,0.02159257000312209,1.176431289847998,False
initvar,A375,0.4,unrestricted,8,0,0,0.6919499306616548,0.633122948560565,0.019829603959806263,1.0819601159300662,False
main,A375,0.05,additive,8,0,16,0.0,0.0,0.34719163179397583,1.0049259090904221,True
main,A375,0.05,order_insensitive,8,0,16,0.0,0.0,0.0,2.2807854967683423,True
main,A375,0.05,structured,8,0,0,0.773126768955975,0.5373985685028597,0.05985394516028464,34.57268103193361,False
