tag,screen,coverage,family,split_seed,value
main,A375,0.05,order_insensitive,7,0.02855247831538635
main,A375,0.05,structured,0,0.022805624925407705
main,A375,0.05,structured,1,0.024845172846555
main,A375,0.05,structured,2,0.024057235808283176
main,A375,0.05,structured,3,0.02342652288255877
main,A375,0.05,structured,4,0.021562970403449497
main,A375,0.05,structured,5,0.021126147033847596
main,A375,0.05,structured,6,0.02031762482596558
main,A375,0.05,structured,7,0.026186633399347955
main,A375,0.05,unrestricted,0,0.021395765745431616
main,A375,0.05,unrestricted,1,0.02471477995788595
main,A375,0.05,unrestricted,2,0.024083042308305165
main,A375,0.05,unrestricted,3,0.023527823071871894
main,A375,0.05,unrestricted,4,0.022984362954415433
main,A375,0.05,unrestricted,5,0.022587947695993222
main,A375,0.05,unrestricted,6,0.019926026203722823
main,A375,0.05,unrestricted,7,0.025057221082814697
main,A375,0.1,additive,0,0.017456743591448748
main,A375,0.1,additive,1,0.021298726817095635
main,A375,0.1,additive,2,0.020034984697058916
main,A375,0.1,additive,3,0.018272740438763025
main,A375,0.1,additive,4,0.021987798718255045
main,A375,0.1,additive,5,0.020413246874424126
main,A375,0.1,additive,6,0.019272743888423264
main,A375,0.1,additive,7,0.02039678294962742
main,A375,0.1,order_insensitive,0,0.02092605433438721
main,A375,0.1,order_insensitive,1,0.023773015674076924
main,A375,0.1,order_insensitive,2,0.021808699097854777
main,A375,0.1,order_insensitive,3,0.020586543057527072
main,A375,0.1,order_insensitive,4,0.023330350614614755
main,A375,0.1,order_insensitive,5,0.02212941633444065
main,A375,0.1,order_insensitive,6,0.02212621211417969
main,A375,0.1,order_insensitive,7,0.023527256685246606
main,A375,0.1,structured,0,0.014073542720342032
main,A375,0.1,structured,1,0.01610062845311532
main,A375,0.1,structured,2,0.01564477616749123
main,A375,0.1,structured,3,0.015878157470520272
main,A375,0.1,structured,4,0.016659757545021938
main,A375,0.1,structured,5,0.017112475682349606
main,A375,0.1,structured,6,0.014984668792558269
main,A375,0.1,structured,7,0.018462468835624617
main,A375,0.1,unrestricted,0,0.013772162995586076
main,A375,0.1,unrestricted,1,0.015097151215797817
main,A375,0.1,unrestricted,2,0.0159735048215553
main,A375,0.1,unrestricted,3,0.01572557331602315
main,A375,0.1,unrestricted,4,0.016318052775595605
main,A375,0.1,unrestricted,5,0.018012605439992925
main,A375,0.1,unrestricted,6,0.014832232987885286
main,A375,0.1,unrestricted,7,0.017391027114574947
main,A375,0.2,additive,0,0.017516934463022604
main,A375,0.2,additive,1,0.021500887853554973
main,A375,0.2,additive,2,0.01882172853962858
main,A375,0.2,additive,3,0.017233003206726907
main,A375,0.2,additive,4,0.019997317514411226
main,A375,0.2,additive,5,0.019428979819968446
main,A375,0.2,additive,6,0.018590611904125826
main,A375,0.2,additive,7,0.018714871185684948
main,A375,0.2,order_insensitive,0,0.01764714689627625
main,A375,0.2,order_insensitive,1,0.019049827528322218
main,A375,0.2,order_insensitive,2,0.02007098410010224
main,A375,0.2,order_insensitive,3,0.017416508380460896
main,A375,0.2,order_insensitive,4,0.019721747995498844
main,A375,0.2,order_insensitive,5,0.018631059434800607
main,A375,0.2,order_insensitive,6,0.0181729465542243
main,A375,0.2,order_insensitive,7,0.01959692079905303
main,A375,0.2,structured,0,0.01011654376450869
main,A375,0.2,structured,1,0.012393349325509034
main,A375,0.2,structured,2,0.011752859200885422
main,A375,0.2,structured,3,0.01138492471763161
main,A375,0.2,structured,4,0.011048732192816532
main,A375,0.2,structured,5,0.01179362636513827
main,A375,0.2,structured,6,0.011291121348591802
main,A375,0.2,structured,7,0.012445437699350153
main,A375,0.2,unrestricted,0,0.009523213137134825
main,A375,0.2,unrestricted,1,0.011577569916896121
main,A375,0.2,unrestricted,2,0.011135168357996224
main,A375,0.2,unrestricted,3,0.010946071428764243
main,A375,0.2,unrestricted,4,0.01184247670381869
main,A375,0.2,unrestricted,5,0.010999266753777352
main,A375,0.2,unrestricted,6,0.011366880252504343
main,A375,0.2,unrestricted,7,0.012099173190708959
main,A375,0.4,additive,0,0.01712233973472322
main,A375,0.4,additive,1,0.019479008329856034
main,A375,0.4,additive,2,0.017714208707715146
main,A375,0.4,additive,3,0.016766670230360256
main,A375,0.4,additive,4,0.019821837513184098
main,A375,0.4,additive,5,0.0188990524081659
main,A375,0.4,additive,6,0.018026075632697203
main,A375,0.4,additive,7,0.018210122436864366
main,A375,0.4,order_insensitive,0,0.017472035315893576
main,A375,0.4,order_insensitive,1,0.017753812305790425
main,A375,0.4,order_insensitive,2,0.018543997312104078
main,A375,0.4,order_insensitive,3,0.016240447260531775
main,A375,0.4,order_insensitive,4,0.019351718661778455
main,A375,0.4,order_insensitive,5,0.017987511931346026
main,A375,0.4,order_insensitive,6,0.017951434980538455
main,A375,0.4,order_insensitive,7,0.0185543863127118
main,A375,0.4,structured,0,0.008197117852404564
main,A375,0.4,structured,1,0.007284024013251428
main,A375,0.4,structured,2,0.008788655293893062
main,A375,0.4,structured,3,0.00774488157149495
main,A375,0.4,structured,4,0.008465951523348869
main,A375,0.4,structured,5,0.008101129915115916
main,A375,0.4,structured,6,0.00875513969710359
main,A375,0.4,structured,7,0.009460407695770695
main,A375,0.4,unrestricted,0,0.008252869440251893
main,A375,0.4,unrestricted,1,0.007797668082907285
main,A375,0.4,unrestricted,2,0.008911284990852366
main,A375,0.4,unrestricted,3,0.0074793746037899456
main,A375,0.4,unrestricted,4,0.008542264179889323
main,A375,0.4,unrestricted,5,0.007912715246718278
main,A375,0.4,unrestricted,6,0.00852152016481446
main,A375,0.4,unrestricted,7,0.00982338417755306
main,A375,0.7,additive,0,0.01646300365336639
main,A375,0.7,additive,1,0.01944343471614275
main,A375,0.7,additive,2,0.017836387972833188
main,A375,0.7,additive,3,0.01666159227952689
main,A375,0.7,additive,4,0.019493038224765048
main,A375,0.7,additive,5,0.018720299694914153
main,A375,0.7,additive,6,0.0177222675048535
main,A375,0.7,additive,7,0.017797774249738732
main,A375,0.7,order_insensitive,0,0.016992134671823724
main,A375,0.7,order_insensitive,1,0.01746507739869442
main,A375,0.7,order_insensitive,2,0.018887317522413734
main,A375,0.7,order_insensitive,3,0.01567872643235504
main,A375,0.7,order_insensitive,4,0.019125710668416753
main,A375,0.7,order_insensitive,5,0.017750501853896976
main,A375,0.7,order_insensitive,6,0.01759593682807921
main,A375,0.7,order_insensitive,7,0.01822755312808777
main,A375,0.7,structured,0,0.007484237435193218
main,A375,0.7,structured,1,0.007400483870883023
main,A375,0.7,structured,2,0.008612796781818192
main,A375,0.7,structured,3,0.007195687180040108
main,A375,0.7,structured,4,0.00857698957337003
main,A375,0.7,structured,5,0.007573774874586831
main,A375,0.7,structured,6,0.007828719349907707
main,A375,0.7,structured,7,0.008481098221224984
main,A375,0.7,unrestricted,0,0.006461235661364979
main,A375,0.7,unrestricted,1,0.006206246937734506
main,A375,0.7,unrestricted,2,0.00767331263607411
main,A375,0.7,unrestricted,3,0.006485069175716759
main,A375,0.7,unrestricted,4,0.007842794656344923
main,A375,0.7,unrestricted,5,0.006709721000738183
main,A375,0.7,unrestricted,6,0.006935043443617782
main,A375,0.7,unrestricted,7,0.007527894452654497
main,PANC1,0.05,additive,0,0.01121695782785042
main,PANC1,0.05,additive,1,0.013122882391013155
main,PANC1,0.05,additive,2,0.011613019398171009
main,PANC1,0.05,additive,3,0.014613885629418268
main,PANC1,0.05,additive,4,0.013780853973150669
main,PANC1,0.05,additive,5,0.014751763537100093
main,PANC1,0.05,additive,6,0.012888276090379434
main,PANC1,0.05,additive,7,0.014155321519578806
main,PANC1,0.05,order_insensitive,0,0.012665556002086194
main,PANC1,0.05,order_insensitive,1,0.014666838006030195
main,PANC1,0.05,order_insensitive,2,0.01396806937872241
main,PANC1,0.05,order_insensitive,3,0.016821235329599806
