drug_index,label,parent_chembl_id,target_chembl_id,target_name,organism,mechanism_of_action,action_type
73,Raloxifene HCl,CHEMBL81,CHEMBL242,Estrogen receptor beta,Homo sapiens,Estrogen receptor beta modulator,MODULATOR
73,Raloxifene HCl,CHEMBL81,CHEMBL206,Estrogen receptor,Homo sapiens,Estrogen receptor modulator,MODULATOR
74,Romidepsin,CHEMBL343448,CHEMBL2093865,Histone deacetylase,Homo sapiens,Histone deacetylase inhibitor,INHIBITOR
75,Sirolimus (Rapamycin),CHEMBL413,CHEMBL1902,Peptidyl-prolyl cis-trans isomerase FKBP1A,Homo sapiens,FK506-binding protein 1A inhibitor,INHIBITOR
76,Streptozocin,CHEMBL1977579,CHEMBL2311221,DNA,Homo sapiens,DNA inhibitor,INHIBITOR
77,Sunitinib Malate,CHEMBL535,CHEMBL1844,Macrophage colony-stimulating factor 1 receptor,Homo sapiens,Macrophage colony stimulating factor receptor inhibitor,INHIBITOR
77,Sunitinib Malate,CHEMBL535,CHEMBL1936,Mast/stem cell growth factor receptor Kit,Homo sapiens,Stem cell growth factor receptor inhibitor,INHIBITOR
77,Sunitinib Malate,CHEMBL535,CHEMBL1974,Receptor-type tyrosine-protein kinase FLT3,Homo sapiens,Tyrosine-protein kinase receptor FLT3 inhibitor,INHIBITOR
77,Sunitinib Malate,CHEMBL535,CHEMBL2095189,Platelet-derived growth factor receptor,Homo sapiens,Platelet-derived growth factor receptor inhibitor,INHIBITOR
77,Sunitinib Malate,CHEMBL535,CHEMBL2095227,Vascular endothelial growth factor receptor,Homo sapiens,Vascular endothelial growth factor receptor inhibitor,INHIBITOR
77,Sunitinib Malate,CHEMBL535,CHEMBL2041,Proto-oncogene tyrosine-protein kinase receptor Ret,Homo sapiens,Tyrosine-protein kinase receptor RET inhibitor,INHIBITOR
77,Sunitinib Malate,CHEMBL535,CHEMBL1844,Macrophage colony-stimulating factor 1 receptor,Homo sapiens,Macrophage colony stimulating factor receptor inhibitor,INHIBITOR
77,Sunitinib Malate,CHEMBL535,CHEMBL279,Vascular endothelial growth factor receptor 2,Homo sapiens,Vascular endothelial growth factor receptor 2 inhibitor,INHIBITOR
77,Sunitinib Malate,CHEMBL535,CHEMBL1936,Mast/stem cell growth factor receptor Kit,Homo sapiens,Stem cell growth factor receptor inhibitor,INHIBITOR
77,Sunitinib Malate,CHEMBL535,CHEMBL1913,Platelet-derived growth factor receptor beta,Homo sapiens,Platelet-derived growth factor receptor beta inhibitor,INHIBITOR
77,Sunitinib Malate,CHEMBL535,CHEMBL2007,Platelet-derived growth factor receptor alpha,Homo sapiens,Platelet-derived growth factor receptor alpha inhibitor,INHIBITOR
77,Sunitinib Malate,CHEMBL535,CHEMBL1868,Vascular endothelial growth factor receptor 1,Homo sapiens,Vascular endothelial growth factor receptor 1 inhibitor,INHIBITOR
