role,entity,n_rows,usable,mse_base,mse_pair,incremental,true_sd,bucket,contrast,fold_key,max_similarity_to_train,incremental_blind,key,block,screen,endpoint,representation,partition,fold,tag
acid,103,35,True,0.0613546519413781,0.0652412549205757,-0.0633465084752025,0.3110957204419741,test_e1a,primary,p0f0,0.3272727272727272,-0.0681934295717705,sensitivity/all/protocol/yield/ecfp4/k5/p0f0/encoding_protocol,sensitivity,all,yield,ecfp4,0,0,encoding_protocol
acid,114,59,True,0.0501431261041805,0.053118025091438,-0.0593281516010135,0.3259602998351407,test_e1a,primary,p0f0,0.3620689655172414,-0.0313443701388631,sensitivity/all/protocol/yield/ecfp4/k5/p0f0/encoding_protocol,sensitivity,all,yield,ecfp4,0,0,encoding_protocol
acid,116,10,True,0.0052936271149572,0.0027793982325379,0.4749539073719987,0.023094010767585,test_e1a,primary,p0f0,0.40625,0.605005773344876,sensitivity/all/protocol/yield/ecfp4/k5/p0f0/encoding_protocol,sensitivity,all,yield,ecfp4,0,0,encoding_protocol
acid,120,13,True,0.0874751023634133,0.1003343100160597,-0.1470042023983366,0.362814980749707,test_e1a,primary,p0f0,0.3611111111111111,-0.0766130436466185,sensitivity/all/protocol/yield/ecfp4/k5/p0f0/encoding_protocol,sensitivity,all,yield,ecfp4,0,0,encoding_protocol
acid,125,12,True,0.1401716394389454,0.2281007096972402,-0.6272957255136766,0.3855277135029178,test_e1a,primary,p0f0,0.5208333333333334,-0.039595330572524,sensitivity/all/protocol/yield/ecfp4/k5/p0f0/encoding_protocol,sensitivity,all,yield,ecfp4,0,0,encoding_protocol
acid,127,40,True,0.0346038578840954,0.0224193124782461,0.3521152308121577,0.3826546901547607,test_e1a,primary,p0f0,0.58,-0.0011085457961925,sensitivity/all/protocol/yield/ecfp4/k5/p0f0/encoding_protocol,sensitivity,all,yield,ecfp4,0,0,encoding_protocol
acid,129,87,True,0.0493901095137132,0.025534273668321,0.4830083609911523,0.3418089164384927,test_e1a,primary,p0f0,0.3559322033898305,0.1755183399080648,sensitivity/all/protocol/yield/ecfp4/k5/p0f0/encoding_protocol,sensitivity,all,yield,ecfp4,0,0,encoding_protocol
acid,133,35,True,0.0474541977977306,0.0499998971755883,-0.0536453990584462,0.3157259620450046,test_e1a,primary,p0f0,0.4857142857142857,-0.0009280791428325,sensitivity/all/protocol/yield/ecfp4/k5/p0f0/encoding_protocol,sensitivity,all,yield,ecfp4,0,0,encoding_protocol
acid,136,2,False,0.0037822265816105,0.0043498990765922,-0.1500894995931032,0.0,test_e1a,primary,p0f0,0.5833333333333334,-0.4642322599818336,sensitivity/all/protocol/yield/ecfp4/k5/p0f0/encoding_protocol,sensitivity,all,yield,ecfp4,0,0,encoding_protocol
acid,138,10,True,0.0312412679944771,0.0213298360022277,0.3172544723217242,0.1553347639419099,test_e1a,primary,p0f0,0.5238095238095238,0.2306037107600512,sensitivity/all/protocol/yield/ecfp4/k5/p0f0/encoding_protocol,sensitivity,all,yield,ecfp4,0,0,encoding_protocol
