screen,drug,label,incremental_skill,skill_better,skill_base,max_sim_to_train,n_pairs,stratum
A375,0,Allopurinol,0.08883808884558841,0.2690516090279449,0.1937377328535896,0.29411764705882354,270,medium
A375,1,Altretamine,0.02599271441669937,0.37696248313458014,0.3559792775313344,0.15,270,low
A375,2,Amifostine,-0.03578095958244831,-0.002782335859368638,0.03035127241431061,0.1574074074074074,270,low
A375,3,Aminolevulinic Acid,-0.05377228106311249,0.22935347200875547,0.2672930311933683,0.20512820512820515,270,low
A375,4,Anastrozole,0.09467664499872408,-0.053945800629745334,-0.1645814742333623,0.26,270,medium
A375,5,Arsenic Trioxide,0.022191740066959897,0.3977188827605988,0.3842560943931718,0.0,270,low
A375,6,Axitinib,0.04590735261137158,0.3066681895049646,0.2725108352267697,0.2122329362828512,270,low
A375,7,Azacitidine,-0.19922276453774845,-0.07244852554036325,0.10322196375292299,0.6444444444444445,270,high
A375,8,Bendamustine HCl,0.13764059293045194,0.28751175289437453,0.1841804222723646,0.52,270,high
A375,9,Bleomycin,-0.08048681252690604,-0.3200048332362034,-0.22375315374381088,0.14039938556067588,270,low
A375,10,Bortezomib,-0.061026216786879584,0.09906883374835151,0.15076818652640397,0.3176470588235294,270,medium
A375,11,Busulfan,0.04306999118765442,0.3844057276627792,0.35659249397750176,0.11159045153868279,270,low
A375,12,Cabazitaxel,0.06869861376420994,0.039518557199659465,-0.03134628445018254,0.7920792079207922,270,high
A375,13,Capecitabine,-0.4005069114475872,0.019588171558502527,0.3082441055916128,0.2857142857142857,270,medium
A375,14,Carboplatin,0.08413462878345823,0.566568491081375,0.5251855826892063,0.19576719576719573,270,low
A375,15,Carmustine,0.17561222360431672,0.383134277045162,0.2530733231987428,0.5277777777777778,270,high
A375,16,Celecoxib,0.14421247470255605,0.5628306563198999,0.4860403926576729,0.1744507870610621,270,low
A375,17,Chlorambucil,0.16356521157974813,0.2671533844670463,0.12023960629641717,0.5365853658536586,270,high
A375,18,Cisplatin,0.13057793898079895,0.36531564343394424,0.27332705750143327,0.057539682539682536,270,low
A375,19,Cladribine,0.0029497878503507158,0.3088767457243231,0.31112189148333347,0.6008004574042309,270,high
A375,20,Clofarabine,-0.00915553720516682,0.14778803300411858,0.15677152752260745,0.5787878787878787,270,high
A375,21,Crizotinib,-0.013510703951632896,0.3999424037281783,0.4051585237056274,0.1854901960784314,270,low
A375,22,Cyclophosphamide,0.08299856563847063,0.30432650716631465,0.23411066139123346,0.26988636363636365,270,medium
A375,23,Cytarabine; Ara-C,0.0007220874200801752,0.4115755508598715,0.41116406493689,0.6310185185185185,270,high
A375,24,Dacarbazine,0.02141671114060606,0.3356229899973348,0.31912285074338165,0.20094760312151616,270,low
A375,25,Dactinomycin,0.016952019182898792,-0.06632599756470425,-0.08462975806112294,0.18052333557833822,270,low
A375,26,Dasatinib,0.12994094221672858,0.3473481116947265,0.24870772736313904,0.24649859943977592,270,medium
A375,27,Daunorubicin HCl,3.7730211494002575e-06,0.31327545970426873,0.31327288954522153,0.8533333333333334,270,high
A375,28,Decitabine,-0.037688044915342056,-1.5172187692250703,-1.435505583638312,0.6000267630135153,270,high
A375,29,Dexrazoxane HCl,0.06031161986176903,0.35888599594308107,0.3169809243291181,0.20000000000000004,270,low
