tag,screen,representation,coverage,fold_key,partition,fold,model,n_params,synthetic_target,mse,mse_zero,skill,pearson,spearman,mae,rmse,sign_accuracy,n_pairs
control_random,A375,random,1.0,p0f3,0,3,zero,0,False,0.049716285185832335,0.049716285185832335,0.0,,,0.1371382143777778,0.2229714896255401,,900
control_random,A375,random,1.0,p0f5,0,5,zero,0,False,0.0627908918204923,0.0627908918204923,0.0,,,0.1636025799566667,0.25058110826734786,,900
control_random,A375,random,1.0,p0f1,0,1,zero,0,False,0.05498616695905571,0.05498616695905571,0.0,,,0.16136696978555556,0.2344912939941603,,900
control_random,A375,random,1.0,p0f0,0,0,zero,0,False,0.04720622579083599,0.04720622579083599,0.0,,,0.1399710212366667,0.2172699376141025,,900
control_random,A375,random,1.0,p0f4,0,4,zero,0,False,0.042738339298179884,0.042738339298179884,0.0,,,0.1385179575888889,0.20673253081743057,,900
control_random,A375,random,1.0,p0f2,0,2,zero,0,False,0.06240251652380649,0.06240251652380649,0.0,,,0.1735544849888889,0.24980495696404123,,900
control_random,A375,random,1.0,p0f8,0,8,zero,0,False,0.043628033075616246,0.043628033075616246,0.0,,,0.1320727284,0.20887324643337224,,900
control_random,A375,random,1.0,p0f7,0,7,zero,0,False,0.05378434351846589,0.05378434351846589,0.0,,,0.14940337348333332,0.2319145176966416,,900
control_random,A375,random,1.0,p0f9,0,9,zero,0,False,0.04058104429398822,0.04058104429398822,0.0,,,0.13317899278,0.20144737350977854,,900
control_random,A375,random,1.0,p0f6,0,6,zero,0,False,0.03249369476850163,0.03249369476850163,0.0,,,0.10886890190222222,0.18026007535919214,,900
control_random,A375,random,1.0,p0f2,0,2,potential,1724,False,0.05049563433908279,0.06240251652380649,0.19080772455997408,0.43755489098133415,0.34091589413484874,0.16905323859348764,0.22471233686445163,0.6983372921615202,900
control_random,A375,random,1.0,p0f5,0,5,potential,1732,False,0.051211809501570324,0.0627908918204923,0.1844070371229073,0.4279661785884779,0.41199830287856326,0.15708120801967693,0.22630026403336415,0.727027027027027,900
control_random,A375,random,1.0,p0f3,0,3,potential,1684,False,0.03614486093433099,0.049716285185832335,0.2729774399027062,0.5401671689217826,0.4440824412540427,0.13322163354396643,0.19011801843678833,0.7427652733118971,900
control_random,A375,random,1.0,p0f0,0,0,potential,54912,False,0.039130469050567704,0.04720622579083599,0.17107397604821883,0.42858266913411114,0.3495333368724324,0.14358024019038582,0.1978142286352721,0.6766467065868264,900
control_random,A375,random,1.0,p0f1,0,1,potential,54080,False,0.04285553354091226,0.05498616695905571,0.22061245744181934,0.47302327173030256,0.44564162013368747,0.1505010095409426,0.20701578089825004,0.7574931880108992,900
control_random,A375,random,1.0,p0f4,0,4,potential,1725,False,0.029879466982685496,0.042738339298179884,0.30087440285827893,0.5542171674808729,0.47209520011753103,0.13001645998271574,0.1728567817086894,0.7903682719546742,900
control_random,A375,random,1.0,p0f6,0,6,potential,56480,False,0.02541994228526019,0.03249369476850163,0.21769615716642077,0.47660500392122396,0.4528202627410652,0.11363387545559356,0.15943632674287309,0.8115384615384615,900
control_random,A375,random,1.0,p0f8,0,8,potential,1714,False,0.03127085738151897,0.043628033075616246,0.2832393491744123,0.5288304988903108,0.4171846138081652,0.1250608662469662,0.1768356790399465,0.7540983606557377,900
control_random,A375,random,1.0,p0f7,0,7,potential,55360,False,0.04545600312443381,0.05378434351846589,0.1548469284778513,0.40757364475719593,0.331118812080838,0.14927979483979104,0.21320413486711232,0.6843657817109144,900
control_random,A375,random,1.0,p0f9,0,9,potential,1705,False,0.026979070346952995,0.04058104429398822,0.3351804810269571,0.5790310916279211,0.5188061713656437,0.11832067634243448,0.16425306799860084,0.8,900
control_random,A375,random,1.0,p0f1,0,1,lowrank,8456,False,0.04408456494458612,0.05498616695905571,0.19826081026137432,0.46301401072994036,0.4391933817202244,0.15235355784955756,0.20996324665185123,0.7411444141689373,900
